transaction_id,date,merchant,category,amount_krw,type,original_transaction_id
A01,2026-08-02,예제마트,식료품,42000,expense,
A02,2026-08-03,예제교통,교통,1500,expense,
A03,2026-08-04,예제카페,카페,4800,expense,
A04,2026-08-05,예제구독,구독,14900,expense,
A05,2026-08-06,예제식당,식비,12500,expense,
A06,2026-08-08,예제교통,교통,1500,expense,
A07,2026-08-10,예제상점,쇼핑,59000,expense,
S01,2026-09-01,예제마트,식료품,36500,expense,
S02,2026-09-02,예제교통,교통,1550,expense,
S03,2026-09-03,예제카페,카페,5100,expense,
S04,2026-09-04,예제구독,구독,14900,expense,
S05,2026-09-05,예제식당,식비,14000,expense,
S06,2026-09-06,예제상점,쇼핑,89000,expense,
S07,2026-09-07,예제마트,식료품,27800,expense,
S08,2026-09-08,예제카페,카페,4800,expense,
S09,2026-09-05,예제식당,식비,14000,expense,
R01,2026-09-12,예제상점,쇼핑,-89000,refund,S06
R02,2026-08-25,예제식당,식비,-12500,refund,A05
S05,2026-09-05,예제식당,식비,14000,expense,
A03,2026-08-04,예제카페,카페,4800,expense,
